latitude,longitude,Time_Start,Time_Stop,TimeTaken 
13.0393896103,80.2471237183,84346,84376,30
13.0393896103,80.2471237183,84376,84392,16
13.0403404236,80.2404327393,84496,84516,20
13.044380188,80.2124862671,85263,85283,20
13.0472698212,80.2107925415,85374,85390,16
13.0495901108,80.2108383179,85412,85433,21
13.0493202209,80.2071762085,86109,86139,30
13.0498104095,80.2118606567,86270,86300,30
13.0498104095,80.2118606567,86300,86316,16
12.997420311,80.256942749,5726,5746,20
12.9969596863,80.2570037842,6039,6059,20
12.9975996017,80.2570419312,7523,7543,20
12.9975404739,80.2572097778,9139,9160,21
12.9976196289,80.2571563721,9210,9230,20
12.9976396561,80.2572479248,9321,9341,20
12.997759819,80.2571792603,9503,9533,30
12.9975595474,80.2572174072,11087,11108,21
12.9975004196,80.2573318481,12097,12117,20
12.9975299835,80.2573394775,12117,12137,20
12.9977197647,80.2571182251,12218,12238,20
12.9977502823,80.2570419312,12238,12259,21
12.9974403381,80.2575073242,12269,12289,20
12.9977302551,80.2571716309,12834,12854,20
12.9976501465,80.2571029663,13470,13490,20
12.9976501465,80.257232666,19374,19394,20
13.0083599091,80.2322387695,24844,24860,16
13.0304603577,80.2158584595,25748,25768,20
13.0302095413,80.2136383057,25779,25799,20
13.0489997864,80.2071762085,28597,28613,16
13.0393600464,80.1968002319,28656,28675,19
13.0491504669,80.2071380615,37571,37591,20
13.03028965,80.211769104,39754,39784,30
13.0321998596,80.2207794189,40027,40057,30
12.9994897842,80.2559814453,43614,43634,20
13.0006303787,80.2565765381,43664,43685,21
13.0063199997,80.2558822632,43875,43896,21
13.0062999725,80.2403717041,44441,44461,20
13.0069198608,80.2396469116,44472,44492,20
13.0069198608,80.2396469116,44492,44508,16
13.0064001083,80.2370910645,44508,44528,20
13.0079603195,80.231590271,44622,44652,30
13.0103797913,80.2267837524,44672,44693,21
13.011469841,80.2235183716,44753,44773,20
13.014169693,80.2239532471,44824,44844,20
13.0165596008,80.2249679565,44925,44955,30
13.0193099976,80.2246704102,44965,44995,30
13.0255699158,80.2305603027,45157,45187,30
13.0299901962,80.2241897583,45579,45599,20
13.0312004089,80.2181777954,45770,45787,17
13.0001497269,80.2667770386,53130,53150,20
12.9968004227,80.2571792603,53433,53453,20
12.9987697601,80.2559509277,53584,53604,20
13.0000896454,80.2562179565,53665,53681,16
13.0061197281,80.2573318481,53794,53824,30
13.0065402985,80.2532272339,53905,53925,20
13.0067396164,80.2515563965,54107,54123,16
13.0065898895,80.2465133667,54266,54286,20
13.006649971,80.2405776978,54397,54418,21
13.0073795319,80.236869812,54478,54498,20
13.0153198242,80.2248764038,54791,54811,20
13.0192203522,80.224281311,54892,54922,30
13.0197200775,80.2246170044,54932,54962,30
13.0254001617,80.229850769,55104,55124,20
13.0283699036,80.2308502197,55205,55225,20
13.0290298462,80.2308273315,55245,55275,30
13.0286397934,80.2272109985,55417,55437,20
13.0311698914,80.223197937,55588,55608,20
13.0321397781,80.2197418213,55669,55689,20
13.0355300903,80.205406189,56207,56227,20
13.0412902832,80.1966323853,56671,56687,16
13.0410003662,80.205116272,56831,56852,21
13.0441398621,80.2121200562,56993,57013,20
13.0495004654,80.2121887207,58071,58101,30
13.0409698486,80.2051925659,58361,58381,20
13.0397996902,80.1932678223,58644,58664,20
13.0372600555,80.1956710815,58765,58781,16
13.0319404602,80.2110595703,59136,59152,16
13.0301799774,80.2170791626,59397,59417,20
13.03221035,80.2200164795,59498,59518,20
13.0322198868,80.2203063965,59528,59548,20
13.0270204544,80.2329330444,59982,60002,20
13.0180902481,80.2248001099,60275,60291,16
13.0144500732,80.226272583,60424,60454,30
13.0082597733,80.2335968018,60585,60606,21
13.0001802444,80.256362915,61373,61389,16
13.0004196167,80.2658233643,61774,61794,20
13.00041008,80.266242981,62572,62602,30
13.0003404617,80.266418457,62723,62753,30
12.9956798553,80.2673873901,62864,62894,30
12.9962301254,80.2626113892,63127,63147,20
12.9987602234,80.2560195923,63339,63369,30
13.0065202713,80.2542114258,63611,63639,28
13.0064897537,80.2532501221,63659,63680,21
13.0066299438,80.248260498,63791,63821,30
13.0066099167,80.246673584,63871,63892,21
