No,day,month,latitude,longitude,bus_id,seconds,No
360743,6,3,13.05113983,80.20716095,45214920406,51098,360743
360813,6,3,13.05113983,80.20716095,45214920406,51108,360813
360887,6,3,13.05113983,80.20716095,45214920406,51118,360887
360957,6,3,13.05117035,80.20733643,45214920406,51128,360957
361033,6,3,13.05117035,80.20733643,45214920406,51138,361033
361037,6,3,13.05117035,80.20733643,45214920406,51139,361037
361038,6,3,13.05117035,80.20733643,45214920406,51139,361038
361040,6,3,13.05117035,80.20733643,45214920406,51139,361040
361041,6,3,13.05117035,80.20733643,45214920406,51139,361041
361042,6,3,13.05117035,80.20733643,45214920406,51139,361042
361043,6,3,13.05117035,80.20733643,45214920406,51139,361043
361044,6,3,13.05117035,80.20733643,45214920406,51139,361044
361045,6,3,13.05117035,80.20733643,45214920406,51139,361045
361046,6,3,13.05117035,80.20733643,45214920406,51139,361046
361047,6,3,13.05117035,80.20733643,45214920406,51139,361047
361048,6,3,13.05117035,80.20733643,45214920406,51139,361048
361049,6,3,13.05117035,80.20733643,45214920406,51139,361049
361050,6,3,13.05117035,80.20733643,45214920406,51139,361050
361051,6,3,13.05117035,80.20733643,45214920406,51139,361051
361052,6,3,13.05117035,80.20733643,45214920406,51139,361052
361053,6,3,13.05117035,80.20733643,45214920406,51139,361053
361054,6,3,13.05117035,80.20733643,45214920406,51139,361054
361055,6,3,13.05117035,80.20733643,45214920406,51139,361055
361056,6,3,13.05117035,80.20733643,45214920406,51139,361056
361057,6,3,13.05117035,80.20733643,45214920406,51139,361057
361058,6,3,13.05117035,80.20733643,45214920406,51139,361058
361059,6,3,13.05117035,80.20733643,45214920406,51139,361059
361060,6,3,13.05117035,80.20733643,45214920406,51139,361060
361068,6,3,13.05117035,80.20733643,45214920406,51139,361068
362994,6,3,13.05095959,80.20601654,45214920406,51404,362994
363074,6,3,13.05105019,80.20619202,45214920406,51414,363074
363141,6,3,13.05105019,80.20619202,45214920406,51423,363141
363212,6,3,13.05105019,80.20619202,45214920406,51433,363212
363292,6,3,13.05105019,80.20619202,45214920406,51444,363292
363370,6,3,13.05105019,80.20619202,45214920406,51454,363370
363385,6,3,13.05105019,80.20619202,45214920406,51457,363385
363390,6,3,13.05105019,80.20619202,45214920406,51457,363390
363391,6,3,13.05105019,80.20619202,45214920406,51457,363391
363392,6,3,13.05105019,80.20619202,45214920406,51457,363392
363393,6,3,13.05105019,80.20619202,45214920406,51457,363393
363394,6,3,13.05105019,80.20619202,45214920406,51457,363394
363395,6,3,13.05105019,80.20619202,45214920406,51457,363395
363396,6,3,13.05105019,80.20619202,45214920406,51457,363396
363397,6,3,13.05105019,80.20619202,45214920406,51457,363397
363398,6,3,13.05105019,80.20619202,45214920406,51457,363398
363399,6,3,13.05105019,80.20619202,45214920406,51457,363399
363400,6,3,13.05105019,80.20619202,45214920406,51457,363400
363401,6,3,13.05105019,80.20619202,45214920406,51457,363401
363402,6,3,13.05105019,80.20619202,45214920406,51457,363402
363403,6,3,13.05105019,80.20619202,45214920406,51457,363403
363404,6,3,13.05105019,80.20619202,45214920406,51457,363404
363405,6,3,13.05105019,80.20619202,45214920406,51457,363405
363406,6,3,13.05105019,80.20619202,45214920406,51457,363406
363407,6,3,13.05105019,80.20619202,45214920406,51457,363407
363408,6,3,13.05105019,80.20619202,45214920406,51457,363408
363409,6,3,13.05105019,80.20619202,45214920406,51457,363409
363410,6,3,13.05105019,80.20619202,45214920406,51457,363410
363411,6,3,13.05105019,80.20619202,45214920406,51457,363411
363412,6,3,13.05105019,80.20619202,45214920406,51457,363412
363413,6,3,13.05105019,80.20619202,45214920406,51457,363413
365301,6,3,13.05103016,80.20619965,45214920406,51717,365301
365372,6,3,13.05105972,80.20613861,45214920406,51727,365372
365444,6,3,13.05105972,80.20613098,45214920406,51737,365444
365521,6,3,13.05105972,80.20613098,45214920406,51747,365521
365597,6,3,13.05105972,80.20613098,45214920406,51757,365597
365659,6,3,13.05105972,80.20613098,45214920406,51766,365659
365663,6,3,13.05105972,80.20613098,45214920406,51766,365663
365665,6,3,13.05105972,80.20613098,45214920406,51766,365665
365666,6,3,13.05105972,80.20613098,45214920406,51766,365666
365667,6,3,13.05105972,80.20613098,45214920406,51766,365667
365668,6,3,13.05105972,80.20613098,45214920406,51766,365668
365669,6,3,13.05105972,80.20613098,45214920406,51766,365669
365670,6,3,13.05105972,80.20613098,45214920406,51766,365670
365671,6,3,13.05105972,80.20613098,45214920406,51766,365671
365672,6,3,13.05105972,80.20613098,45214920406,51766,365672
365673,6,3,13.05105972,80.20613098,45214920406,51766,365673
365674,6,3,13.05105972,80.20613098,45214920406,51766,365674
365675,6,3,13.05105972,80.20613098,45214920406,51766,365675
365676,6,3,13.05105972,80.20613098,45214920406,51766,365676
365677,6,3,13.05105972,80.20613098,45214920406,51766,365677
365678,6,3,13.05105972,80.20613098,45214920406,51766,365678
365679,6,3,13.05105972,80.20613098,45214920406,51766,365679
365680,6,3,13.05105972,80.20613098,45214920406,51766,365680
365681,6,3,13.05105972,80.20613098,45214920406,51766,365681
365682,6,3,13.05105972,80.20613098,45214920406,51766,365682
365683,6,3,13.05105972,80.20613098,45214920406,51766,365683
365684,6,3,13.05105972,80.20613098,45214920406,51766,365684
365685,6,3,13.05105972,80.20613098,45214920406,51766,365685
365686,6,3,13.05105972,80.20613098,45214920406,51766,365686
365687,6,3,13.05105972,80.20613098,45214920406,51766,365687
365688,6,3,13.05105972,80.20613098,45214920406,51766,365688
367587,6,3,13.05107021,80.20612335,45214920406,52029,367587
